analysis_id,ss05568hv37n7o2
parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:1332236
mouse_strain,C57BL
gene_symbol,Cds2
mouse_life_stage,Early adult
pvalue,0.642627
parameter_name,Fasted blood glucose concentration
