gene_symbol,Hpca
parameter_name,% Pre-pulse inhibition - PPI4
parameter_id,IMPC_ACS_036_001
analysis_id,cey04bmrtno1tt4
pvalue,0.6186639
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:1336200
