analysis_id,161z7338hx3z4c5
parameter_name,Coat - hair distribution - head
gene_symbol,Nr0b2
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
pvalue,0.9345614
mouse_strain,B6J
