parameter_name,Placenta Morphology
pvalue,0.1671435
gene_accession_id,MGI:1336200
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
mouse_strain,C57BL
analysis_id,0yn7835050rk0ss
