parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1914309
analysis_id,984xcl1f5813wz2
parameter_id,IMPC_IMM_071_001
mouse_life_stage,E18.5
pvalue,0.4977359
gene_symbol,Ola1
mouse_strain,C57BL
