parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
analysis_id,7585i08r3ryo15f
pvalue,0.6824418
mouse_life_stage,Early adult
