gene_symbol,Cldn19
gene_accession_id,MGI:3033992
parameter_name,Corneal opacity
analysis_id,41fpexh1t9m3253
mouse_strain,C57BL
pvalue,0.22978
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
