analysis_id,xkgj53ee3x6f69p
gene_accession_id,MGI:1914309
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ola1
pvalue,0.207378
parameter_id,MGP_PBI_033_001
