gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_name,Corneal vascularization
analysis_id,rc38o91gn8jl82m
pvalue,0.2693377
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
