gene_symbol,Cntfr
pvalue,0.306652
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
parameter_name,Haemoglobin
analysis_id,lo7ef0tqzwo77v7
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
