parameter_name,Glucose
gene_accession_id,MGI:2444554
mouse_strain,C57BL
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,E15.5
pvalue,0.2994701
gene_symbol,MAPKAP1
analysis_id,9y5zb93667bb8w0
