analysis_id,bv914bj500la444
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
pvalue,0.08629023
gene_symbol,Ubxn11
parameter_id,JAXLA_GRS_011_001
