Analysis_id,zip234z89u92b6v
mouse_strain,B6J
gene_accession_id,MGI:1346344
pvalue,0.4365274
Parameter_name,PP3 + pulse startle magnitude
gene_symbol,Nr0b2
parameter_id,ESLIM_011_001_009
Mouse_life_stage,Early adult
