gene_symbol,Snrpb2
gene_accession_id,MGI:104805
mouse_strain,C57BL
pvalue,0.485252
mouse_life_stage,Early adult
parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
analysis_id,bn58hkdj2q38701
