parameter_name,Center average speed
mouse_strain,C57BL
analysis_id,7bqr46n2472l5e8
gene_symbol,Sgip1
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
pvalue,0.5203304
parameter_id,IMPC_OFD_017_001
