parameter_id,JAXLA_EYE_092_001
mouse_life_stage,E18.5
pvalue,0.5515377
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_name,Retina (combined)
analysis_id,7wd7dp7xjzbs991
mouse_strain,C57BL
