parameter_name,Body length
gene_symbol,Usp37
pvalue,0.6609486
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3us6k46txu48ru9
gene_accession_id,MGI:2442483
parameter_id,IMPC_DXA_006_001
