analysis_id,v4d00i4su940eb2
gene_symbol,Rgs20
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
parameter_name,Others
pvalue,0.108469
parameter_id,IMPC_IMM_006_001
