analysis_id,vsg919o67dlc997
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Fat mass
gene_symbol,Ola1
pvalue,0.4845952
gene_accession_id,MGI:1914309
parameter_id,IMPC_DXA_002_001
