gene_symbol,Trpa1
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
parameter_id,MGP_IMM_094_001
analysis_id,fycq95zc9478bxa
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3522699
pvalue,0.1502936
