analysis_id,89jl0vp44089055
parameter_name,PQ
gene_accession_id,MGI:2385156
pvalue,0.187595
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
