parameter_id,JAX_OFD_014_001
analysis_id,c4eu5n338maj822
mouse_strain,C57BL
gene_accession_id,MGI:1922745
gene_symbol,Morn5
pvalue,0.7863578
parameter_name,Center distance travelled
mouse_life_stage,Early adult
