parameter_name,Iron
analysis_id,vyw291ga077616m
pvalue,0.8421828
gene_accession_id,MGI:104848
mouse_strain,129SV
gene_symbol,Inpp1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_011_001
