gene_symbol,Mov10
parameter_name,Tibia length
mouse_strain,C57BL
analysis_id,qs350854v3282gi
pvalue,0.3161888
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_033_001
