analysis_id,p6x7w0qno0z791m
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_strain,129SV
pvalue,0.4368631
parameter_name,B Cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
