analysis_id,b30u428m6j4s9wz
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
parameter_id,HMGULA_CBC_009_001
parameter_name,Calcium
pvalue,0.649971
