analysis_id,keuba819a3a953u
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_IMM_046_001
gene_symbol,Ddx27
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.7816975
