mouse_life_stage,Late adult
analysis_id,m4z46x3g4v63x51
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
pvalue,0.0555095
gene_symbol,AU040320
mouse_strain,C57BL
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:2140475
