parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
gene_symbol,Frmpd1
analysis_id,1xitzea0p11k7zx
gene_accession_id,MGI:2446274
pvalue,0.1922249
mouse_strain,C57BL
mouse_life_stage,Early adult
