parameter_name,Weight
parameter_id,CCP_LFO_001_001
analysis_id,46du7c43599skf8
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.5639804
mouse_strain,C57BL
gene_symbol,Exd1
