analysis_id,e9uim13496v57s0
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
parameter_name,Distance travelled - total
pvalue,0.686593
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_020_001
