gene_symbol,Ola1
mouse_strain,C57BL
analysis_id,0ja9g41863a6zxq
pvalue,0.1396794
gene_accession_id,MGI:1914309
parameter_id,IMPC_HEM_038_001
parameter_name,Basophil differential count
mouse_life_stage,Early adult
