gene_symbol,Ntmt2
analysis_id,hhm1j4h984ll366
mouse_life_stage,Early adult
parameter_name,Center permanence time
gene_accession_id,MGI:2685053
pvalue,0.1690229
mouse_strain,C57BL
parameter_id,IMPC_OFD_016_001
