parameter_name,Neutrophil cell count
gene_symbol,Arpc5l
mouse_life_stage,Early adult
pvalue,0.1892067
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1921442
analysis_id,2lpwz7t5a54zv85
