parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
analysis_id,740j52fswkf8331
mouse_strain,129SV
gene_symbol,Cntfr
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.1638324
