analysis_id,g325yb415qg33vj
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
gene_symbol,F2
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:88380
pvalue,0.2852696
mouse_strain,C57BL
