mouse_life_stage,Late adult
analysis_id,g155b12y7eq78j6
gene_accession_id,MGI:1345282
parameter_id,MGP_IMM_027_001
pvalue,0.8822263
gene_symbol,Slc30a4
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
