analysis_id,ay075mm13284051
pvalue,0.2219826
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Kifap3
gene_accession_id,MGI:107566
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
