parameter_id,HRWLLA_CSD_008_001
analysis_id,51t9q9uf9j7o28v
mouse_life_stage,Late adult
gene_symbol,Lpgat1
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
pvalue,0.6481169
gene_accession_id,MGI:2446186
