analysis_id,9734nu3m462roao
parameter_id,IMPC_EYE_092_001
pvalue,0.9115823
parameter_name,Retina (combined)
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
