analysis_id,h8w8sbt695r59y0
pvalue,0.1004319
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAXLA_CSD_007_001
parameter_name,Coat - color - abdomen
gene_symbol,Bpifa3
