analysis_id,c8ls8317729i7r1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_047_001
gene_symbol,Snrpb2
parameter_name,Hindlimb digit - size
pvalue,0.7053783
gene_accession_id,MGI:104805
