gene_symbol,Lamb3
parameter_id,M-G-P_008_001_013
parameter_name,Startle Response
analysis_id,bd7620pv6d7cyht
pvalue,0.4530261
gene_accession_id,MGI:99915
mouse_strain,C57BL
mouse_life_stage,Early adult
