parameter_name,Stroke Volume
gene_symbol,Dnajc8
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
pvalue,0.750045
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
analysis_id,20j4tl25e2r2u9u
