gene_symbol,Arnt
mouse_strain,C57BL
gene_accession_id,MGI:88071
parameter_id,M-G-P_007_001_010
analysis_id,2cy9ru1o54x8syl
pvalue,0.9622207
parameter_name,center - distance
mouse_life_stage,Early adult
