analysis_id,ehnd3e3392j73ry
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.4622361
parameter_id,MGP_IMM_094_001
mouse_strain,C57BL
