parameter_id,IMPC_ECH_002_001
pvalue,0.3726375
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
mouse_strain,C57BL
analysis_id,5l82qiaa2z23m8o
parameter_name,End-Diastolic Diameter
gene_symbol,Arpc5l
