gene_symbol,Ninl
mouse_strain,C57BL
analysis_id,vbqndl5o7w1k16n
mouse_life_stage,Early adult
gene_accession_id,MGI:1925427
parameter_id,MGP_CSD_025_001
parameter_name,Ventral coat/hair presence
pvalue,0.6355288
