Analysis_id,13s6y943f3sw4kl
gene_accession_id,MGI:1913506
Gene_symbol,Ssr2
Parameter_name,Center distance travelled
mouse_life_stage,Early adult
Mouse_strain,C57BL
Parameter_id,JAX_OFD_014_001
Pvalue,0.3400885
