analysis_id,qg859cf81tn2696
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
pvalue,0.4626809
parameter_name,Periphery average speed
mouse_strain,C57BL
gene_accession_id,MGI:2441730
parameter_id,ESLIM_007_001_009
