parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
analysis_id,46vx52l16v24wfp
pvalue,0.2856423
gene_symbol,Snrpb2
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
mouse_strain,C57BL
