analysis_id,9xe62pyotcnyy9b
parameter_id,IMPC_GEL_017_002
pvalue,0.9288997
parameter_name,Pale yolk sac
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,Early adult
