gene_symbol,Nanp
parameter_id,JAX_OFD_021_001
pvalue,0.05000137
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_name,Number of rears - total
analysis_id,51cm13qcrd0j2zf
