gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
mouse_strain,C57BL
analysis_id,69544kh5q15544t
pvalue,0.00483655
parameter_name,Percentage center time
