parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:104805
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_life_stage,Early adult
analysis_id,2jj327r1dm397nk
gene_symbol,Snrpb2
pvalue,0.1700419
mouse_strain,C57BL
