parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
analysis_id,66i0yubr00zxzqn
gene_symbol,Kifap3
pvalue,0.3149664
mouse_strain,C55BL
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
