analysis_id,q1506l3u29jp3nc
parameter_name,Persistence of hyaloid vascular system
pvalue,0.639359
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,IMPC_EYE_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
