parameter_name,QT
gene_symbol,Rap2b
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
parameter_id,IMPC_ECG_028_001
pvalue,0.731834
mouse_strain,C57BL
analysis_id,12eha43d30v47ml
