parameter_name,Periphery average speed
gene_symbol,Zmynd8
analysis_id,ae6w412j87ril0v
gene_accession_id,MGI:1918025
parameter_id,JAX_OFD_013_001
pvalue,0.1532158
mouse_life_stage,Early adult
mouse_strain,C57BL
