gene_symbol,PSMD14
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:1913284
pvalue,0.2030677
mouse_strain,C57BL
analysis_id,6l3e25s9273069f
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
