parameter_id,CCP_LFO_001_001
gene_symbol,Arnt
parameter_name,Weight
pvalue,0.817866
analysis_id,m73859b5431b581
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
mouse_strain,C57BL
