parameter_name,B2B Cells
gene_accession_id,MGI:2674093
analysis_id,ig5lj6r9t092a75
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
gene_symbol,Psd4
pvalue,0.9628574
mouse_strain,C57BL
