analysis_id,3n808m6mx5921lk
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
pvalue,0.4288631
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
