parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
gene_symbol,Dnajc6
pvalue,0.2393926
gene_accession_id,MGI:1919935
analysis_id,5c4tc7ti4xzowrt
mouse_strain,C57BL
mouse_life_stage,Early adult
